role,kind,title,year,runtime,genres,plot outline,rating,total votes,votes/rating,demographic,certificates,metascore,mpaa,color info,trivia,rentals
actor,tv series,The Project,2011,[u'60'],"[u'Comedy', u'News']",A panel of Australian personalities taking a new modern and slightly funny look at the news,5.2,188,"{1: 69, 2: 10, 3: 5, 4: 7, 5: 10, 6: 17, 7: 14, 8: 13, 9: 13, 10: 30}","{u'aged 45+': (18, 6.3), u'aged 30-44': (49, 4.2), u'females': (28, 6.1), u'females aged 30-44': (5, 7.7), 'all votes': (188, 5.2), u'females aged 45+': (3, 6.7), u'males': (109, 5.1), u'aged 18-29': (62, 5.9), u'males under 18': (2, 1.0), u'males aged 18-29': (42, 6.1), u'males aged 30-44': (44, 4.1), u'non-us users': (99, 5.4), u'females aged 18-29': (19, 5.3), u'us users': (14, 3.5), u'aged under 18': (2, 1.0), u'top 1000 voters': (9, 3.4), u'males aged 45+': (15, 5.9)}",,,,[u'Color'],,
actor,tv series,Robot Chicken,2001,[u'USA:11::(excluding commercials)'],"[u'Animation', u'Comedy']",Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,7.8,35018,"{1: 1134, 2: 333, 3: 419, 4: 576, 5: 1096, 6: 2409, 7: 6014, 8: 9467, 9: 5868, 10: 7702}","{u'aged 45+': (2182, 7.6), u'imdb staff': (4, 7.8), u'aged 30-44': (14295, 7.8), u'females': (4288, 7.6), u'females aged 30-44': (1781, 7.7), 'all votes': (35018, 7.8), u'females aged 45+': (328, 7.3), u'males': (26263, 7.9), u'males aged 18-29': (11047, 7.9), u'males under 18': (96, 7.9), u'aged 18-29': (13133, 7.9), u'males aged 30-44': (12401, 7.9), u'non-us users': (12555, 7.8), u'females aged 18-29': (1985, 7.5), u'us users': (13139, 7.8), u'females under 18': (18, 7.8), u'aged under 18': (115, 7.9), u'top 1000 voters': (226, 6.6), u'males aged 45+': (1816, 7.7)}","[u'Argentina:13', u'Australia:MA15+', u'Australia:M::(some episodes)', u'Canada:14A', u'Canada:18A::(Manitoba) (season 3) (DVD rating)', u'Canada:PG::(Nova Scotia) (seasons 2 and 3) (DVD rating)', u'Canada:13+::(Quebec)', u'Germany:16', u'Netherlands:12', u'New Zealand:M', u'New Zealand:R16::(DVD rating)', u'Spain:18::(cable rating)', u'UK:15', u'USA:TV-MA', u'USA:TV-14::(some episodes)']",,,[u'Color'],,
actor,tv movie,The Christmas Consultant,2012,[u'88'],[u'Comedy'],A sought-after holiday consultant is hired by a workaholic mother to get her family through the holidays.,5.4,344,"{1: 33, 2: 30, 3: 16, 4: 36, 5: 53, 6: 55, 7: 35, 8: 28, 9: 10, 10: 48}","{u'aged 45+': (103, 5.2), u'imdb staff': (1, 10.0), u'aged 30-44': (122, 5.2), u'females': (126, 5.5), u'females aged 30-44': (49, 5.2), 'all votes': (344, 5.4), u'females aged 45+': (44, 5.8), u'males': (159, 5.1), u'aged 18-29': (44, 5.3), u'males under 18': (1, 10.0), u'males aged 18-29': (19, 5.8), u'males aged 30-44': (71, 5.2), u'non-us users': (120, 4.8), u'females aged 18-29': (24, 5.0), u'us users': (104, 5.3), u'aged under 18': (1, 10.0), u'top 1000 voters': (20, 5.9), u'males aged 45+': (59, 4.8)}","[u'Germany:0', u'USA:Not Rated']",,,[u'Color'],,
actor,movie,Keith Lemon: The Film,2012,[u'85'],[u'Comedy'],"Keith Lemon () is preparing to take his invention, the securipole, which he has been attempting to lift off the ground for twenty years...",2.6,3743,"{1: 1622, 2: 541, 3: 436, 4: 277, 5: 267, 6: 164, 7: 106, 8: 55, 9: 44, 10: 231}","{u'aged 45+': (334, 2.7), u'imdb staff': (1, 6.0), u'aged 30-44': (1296, 2.7), u'females': (406, 2.9), u'females aged 30-44': (142, 2.5), 'all votes': (3743, 2.6), u'females aged 45+': (27, 3.2), u'males': (2729, 2.6), u'aged 18-29': (1251, 2.6), u'males under 18': (4, 2.5), u'males aged 18-29': (1051, 2.5), u'males aged 30-44': (1145, 2.7), u'non-us users': (2236, 2.6), u'females aged 18-29': (193, 3.1), u'us users': (84, 2.6), u'aged under 18': (4, 2.5), u'top 1000 voters': (67, 2.9), u'males aged 45+': (304, 2.7)}","[u'Australia:MA15+', u'Germany:16', u'Ireland:16', u'Ireland:18::(uncut DVD version)', u'UK:15', u'UK:18::(uncut DVD version)']",,,[u'Color'],,
actor,movie,Piranha 3DD,2012,[u'83'],"[u'Comedy', u'Horror']","After the events at Lake Victoria, the pre-historic school of blood-thirsty piranhas make their way into a newly opened waterpark.",3.8,34158,"{1: 5892, 2: 4726, 3: 5493, 4: 5528, 5: 4717, 6: 3009, 7: 1726, 8: 932, 9: 358, 10: 1777}","{u'aged 45+': (2465, 3.8), u'imdb staff': (1, 4.0), u'aged 30-44': (13691, 3.8), u'females': (3503, 3.5), u'females aged 30-44': (1209, 3.6), 'all votes': (34158, 3.8), u'females aged 45+': (226, 3.5), u'males': (26646, 3.8), u'males aged 18-29': (11045, 3.7), u'males under 18': (58, 3.8), u'aged 18-29': (13050, 3.7), u'males aged 30-44': (12330, 3.8), u'non-us users': (19176, 3.7), u'females aged 18-29': (1882, 3.4), u'us users': (4575, 4.1), u'females under 18': (10, 4.7), u'aged under 18': (68, 3.9), u'top 1000 voters': (349, 4.0), u'males aged 45+': (2196, 3.9)}","[u'Australia:MA15+', u'Canada:18A::(Alberta/British Columbia/Manitoba/Ontario)', u'Canada:16+::(Quebec)', u'Finland:K-18', u'Germany:18', u'India:A', u'Ireland:18', u'Japan:R18+', u'Malaysia:(Banned)', u'Netherlands:16', u'New Zealand:R18', u'Philippines:R-13', u'Portugal:M/16', u'Russia:18+', u'Singapore:M18', u'South Korea:18', u'Sweden:15', u'UK:18', u'USA:R']",24,"Rated R for sequences of strong bloody horror violence and gore, graphic nudity, sexual content, language and some drug use",[u'Color'],,
actor,video movie,The Carlton Dance,2012,[u'5'],"[u'Short', u'Comedy']",A music video starring over 30 celebrities doing the 'Carlton Dance'.,4.9,20,"{1: 3, 2: 2, 3: 2, 4: 1, 5: 5, 6: 2, 7: 2, 8: 0, 9: 0, 10: 3}","{u'aged 45+': (2, 7.5), u'aged 30-44': (10, 4.8), u'females': (4, 4.5), 'all votes': (20, 4.9), u'males': (10, 5.4), u'females aged 30-44': (2, 6.5), u'aged 18-29': (2, 2.5), u'males aged 30-44': (8, 5.0), u'non-us users': (6, 4.9), u'females aged 18-29': (2, 2.5), u'us users': (6, 4.0), u'top 1000 voters': (5, 6.3), u'males aged 45+': (2, 7.5)}",,,,[u'Color'],,
actor,video movie,LMFAO: Sorry for Party Rocking,2012,,"[u'Short', u'Comedy', u'Music', u'Musical']",Redfoo and Sky Blu throw a house party for the ages. Causing all the town folks to get in the mix.,7.7,73,"{1: 3, 2: 3, 3: 0, 4: 4, 5: 6, 6: 5, 7: 5, 8: 8, 9: 12, 10: 27}","{u'aged 45+': (3, 7.0), u'aged 30-44': (24, 6.3), u'females': (13, 7.4), u'females aged 30-44': (5, 6.7), 'all votes': (73, 7.7), u'males': (51, 7.1), u'aged 18-29': (35, 8.2), u'males under 18': (2, 3.5), u'males aged 18-29': (25, 8.3), u'males aged 30-44': (19, 6.2), u'non-us users': (42, 7.2), u'females aged 18-29': (8, 7.7), u'us users': (9, 5.2), u'aged under 18': (2, 3.5), u'top 1000 voters': (8, 6.9), u'males aged 45+': (3, 7.0)}",,,,[u'Color'],,
actor,tv series,Rally On,2011,[u'USA:23'],[u'Reality-TV'],An exclusive look inside the action-packed Gumball 3000 Super Car Rally.,8.2,6,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 4}","{u'males aged 30-44': (2, 9.0), u'us users': (1, 10.0), 'all votes': (6, 8.2), u'males': (4, 9.5), u'males aged 18-29': (1, 10.0), u'aged 18-29': (1, 10.0), u'aged 30-44': (2, 9.0), u'non-us users': (1, 10.0), u'aged 45+': (1, 10.0), u'top 1000 voters': (1, 8.0), u'males aged 45+': (1, 10.0)}",,,,[u'Color'],,
actor,movie,Fuga de cerebros 2,2011,[u'106'],"[u'Comedy', u'Romance']",The brainless teenagers form Brain Drain are back and this time they will be going to the Veterinary Faculty at Harvard University.,4.6,743,"{1: 54, 2: 53, 3: 71, 4: 119, 5: 167, 6: 140, 7: 75, 8: 19, 9: 13, 10: 32}","{u'aged 45+': (52, 3.7), u'aged 30-44': (346, 4.5), u'females': (63, 4.7), u'females aged 30-44': (23, 4.4), 'all votes': (743, 4.6), u'females aged 45+': (4, 6.2), u'males': (523, 4.5), u'aged 18-29': (192, 4.8), u'males aged 18-29': (154, 4.8), u'males aged 30-44': (295, 4.5), u'non-us users': (470, 4.5), u'females aged 18-29': (30, 4.9), u'us users': (7, 3.8), u'females under 18': (1, 6.0), u'aged under 18': (1, 6.0), u'top 1000 voters': (11, 3.3), u'males aged 45+': (39, 3.5)}","[u'South Korea:18::(2015)', u'Spain:16']",,,[u'Color'],,
actor,tv series,Sons of Anarchy,2008,[u'45'],"[u'Crime', u'Drama', u'Thriller']",A man in his early 30s struggles to find a balance in his life between being a new dad and his involvement in a motorcycle club.,8.6,205566,"{1: 2847, 2: 830, 3: 1099, 4: 1712, 5: 3185, 6: 6617, 7: 15987, 8: 34710, 9: 53990, 10: 84589}","{u'aged 45+': (16251, 8.3), u'imdb staff': (11, 6.8), u'aged 30-44': (70239, 8.5), u'females': (37194, 8.8), u'females aged 30-44': (15578, 8.7), 'all votes': (205566, 8.6), u'females aged 45+': (4646, 8.7), u'males': (125603, 8.5), u'males aged 18-29': (48812, 8.7), u'males under 18': (259, 8.6), u'aged 18-29': (62477, 8.7), u'males aged 30-44': (53800, 8.4), u'non-us users': (73925, 8.4), u'females aged 18-29': (13090, 8.8), u'us users': (35164, 8.6), u'females under 18': (75, 8.9), u'aged under 18': (339, 8.6), u'top 1000 voters': (354, 7.5), u'males aged 45+': (11385, 8.2)}","[u'Australia:MA15+', u'Brazil:16', u'Canada:18A', u'Canada:13+::(Qu\xe9bec)', u'Denmark:15', u'Finland:K-16', u'Germany:18', u'Iceland:16', u'Ireland:18', u'Italy:VM14', u'Mexico:C', u'Netherlands:16', u'New Zealand:R18', u'Norway:15', u'Poland:16', u'Russia:18+', u'Singapore:R21', u'South Africa:18', u'Spain:16', u'Sweden:15', u'UK:18', u'USA:TV-MA']",,,[u'Color'],,
actor,movie,Hop,2011,"[u'USA:95', u'Argentina:95']","[u'Animation', u'Adventure', u'Comedy', u'Family', u'Fantasy']","E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",5.5,26087,"{1: 1227, 2: 940, 3: 1649, 4: 2798, 5: 5097, 6: 5762, 7: 3587, 8: 1902, 9: 798, 10: 2327}","{u'aged 45+': (2358, 5.5), u'imdb staff': (5, 5.1), u'aged 30-44': (8931, 5.3), u'females': (6932, 6.0), u'females aged 30-44': (2284, 5.9), 'all votes': (26087, 5.5), u'females aged 45+': (506, 6.2), u'males': (15646, 5.3), u'males aged 18-29': (6590, 5.4), u'males under 18': (143, 5.2), u'aged 18-29': (10405, 5.6), u'males aged 30-44': (6574, 5.2), u'non-us users': (12907, 5.4), u'females aged 18-29': (3726, 6.0), u'us users': (4904, 5.3), u'females under 18': (70, 6.6), u'aged under 18': (215, 5.6), u'top 1000 voters': (288, 4.8), u'males aged 45+': (1821, 5.4)}","[u'Argentina:Atp', u'Australia:G', u'Canada:G::(Ontario)', u'Germany:0', u'Ireland:G', u'Japan:G', u'Malaysia:U', u'Netherlands:6', u'New Zealand:G', u'Peru:Apt', u'Philippines:G::(MTRCB)', u'Portugal:M/4::(dubbed version)', u'Portugal:M/6::(original version)', u'Singapore:PG', u'South Africa:A', u'South Korea:All', u'Spain:A/i', u'Sweden:Btl', u'Switzerland:0::(canton of Geneva)', u'Switzerland:0::(canton of Vaud)', u'UK:U', u'USA:PG::(certificate #46698)']",41,Rated PG for some mild rude humor,[u'Color'],,
actor,movie,To Live and Dine in L.A.,2011,[u'USA:8'],"[u'Short', u'Comedy']",To live and dine in L.A. It's the place to be. At least for several troubled locals and garrulous German tourists whose lives...,8.7,16,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 2, 8: 0, 9: 2, 10: 10}","{u'aged 45+': (1, 10.0), u'aged 30-44': (9, 8.6), u'females': (3, 9.0), u'females aged 30-44': (2, 10.0), 'all votes': (16, 8.7), u'males': (10, 7.7), u'males aged 18-29': (1, 1.0), u'aged 18-29': (2, 4.0), u'males aged 30-44': (7, 8.6), u'non-us users': (8, 7.5), u'females aged 18-29': (1, 7.0), u'us users': (6, 9.9), u'top 1000 voters': (1, 7.0), u'males aged 45+': (1, 10.0)}",,,,[u'Black and White'],,
actor,tv series,The Young and the Restless,1973,"[u'30::(1973-1980)', u'60::(1980-)']","[u'Drama', u'Romance']","Set in Genoa City, Y&R is the long-running soap that tells the story of the struggle behind the business- and sex-savvy Abbott and Newman clans.",5.2,4770,"{1: 1046, 2: 217, 3: 172, 4: 197, 5: 328, 6: 273, 7: 339, 8: 358, 9: 281, 10: 1559}","{u'aged 45+': (970, 6.4), u'imdb staff': (1, 9.0), u'aged 30-44': (1882, 4.9), u'females': (1916, 6.5), u'females aged 30-44': (828, 6.4), 'all votes': (4770, 5.2), u'females aged 45+': (533, 7.4), u'males': (2191, 4.3), u'males aged 18-29': (657, 3.9), u'males under 18': (2, 5.5), u'aged 18-29': (1120, 4.6), u'males aged 30-44': (1046, 4.0), u'non-us users': (1823, 4.1), u'females aged 18-29': (455, 5.8), u'us users': (1555, 6.5), u'females under 18': (3, 9.7), u'aged under 18': (5, 5.0), u'top 1000 voters': (106, 4.5), u'males aged 45+': (424, 5.6)}","[u'Australia:PG', u'USA:TV-14']",,,[u'Color'],,
actor,movie,Dancing Ninja,2010,[u'98'],"[u'Action', u'Comedy', u'Crime']","An orphaned boy who dreams of being a ninja arrives in Hollywood to try and find his birth parents, where he gets mixed up in a crime.",4.4,103,"{1: 20, 2: 4, 3: 8, 4: 9, 5: 13, 6: 4, 7: 4, 8: 7, 9: 7, 10: 27}","{u'aged 45+': (12, 4.3), u'aged 30-44': (41, 4.6), u'females': (22, 3.5), u'females aged 30-44': (7, 3.9), 'all votes': (103, 4.4), u'females aged 45+': (2, 8.5), u'males': (71, 4.6), u'males aged 18-29': (23, 5.4), u'aged 18-29': (36, 4.7), u'males aged 30-44': (34, 4.7), u'non-us users': (57, 4.5), u'females aged 18-29': (12, 2.8), u'us users': (17, 3.6), u'top 1000 voters': (7, 3.6), u'males aged 45+': (10, 4.1)}",[u'USA:Not Rated'],,,[u'Color'],,
actor,video movie,Don't Hassel the Hoff,2009,,"[u'Short', u'Comedy']",,,,,{},,,,[u'Color'],,
actor,video game,Command & Conquer: Red Alert 3,2008,,"[u'Action', u'Sci-Fi']","As the Soviet Union was beginning to disillusion by the massive powers of the western world, General Krukov and Colonel Cherdenko with Dr...",7.6,1439,"{1: 50, 2: 16, 3: 17, 4: 28, 5: 43, 6: 130, 7: 280, 8: 343, 9: 196, 10: 336}","{u'aged 45+': (56, 6.9), u'aged 30-44': (653, 7.5), u'females': (33, 6.7), u'females aged 30-44': (16, 7.1), 'all votes': (1439, 7.6), u'females aged 45+': (1, 1.0), u'males': (1219, 7.7), u'males aged 18-29': (493, 7.9), u'males under 18': (3, 8.3), u'aged 18-29': (512, 7.9), u'males aged 30-44': (630, 7.5), u'non-us users': (932, 7.5), u'females aged 18-29': (15, 6.7), u'us users': (157, 7.9), u'females under 18': (1, 9.0), u'aged under 18': (4, 8.5), u'top 1000 voters': (45, 6.4), u'males aged 45+': (52, 7.1)}",,,,[u'Color'],,
actor,tv movie,Anaconda: Offspring,2008,[u'91'],"[u'Action', u'Horror', u'Sci-Fi', u'Thriller']",A mercenary-for-hire accepts a mission from a billionaire to capture a dangerous snake that could possibly help cure a terminal illness.,2.8,5939,"{1: 1755, 2: 1197, 3: 1066, 4: 614, 5: 417, 6: 202, 7: 117, 8: 67, 9: 39, 10: 465}","{u'aged 45+': (613, 3.1), u'aged 30-44': (2413, 2.6), u'females': (488, 3.2), u'females aged 30-44': (176, 2.9), 'all votes': (5939, 2.8), u'females aged 45+': (58, 3.9), u'males': (4724, 2.7), u'males aged 18-29': (1820, 2.8), u'males under 18': (9, 2.4), u'aged 18-29': (2073, 2.8), u'males aged 30-44': (2223, 2.6), u'non-us users': (3613, 2.6), u'females aged 18-29': (240, 3.2), u'us users': (927, 3.0), u'females under 18': (2, 3.0), u'aged under 18': (11, 2.3), u'top 1000 voters': (187, 3.0), u'males aged 45+': (548, 3.0)}","[u'Argentina:13', u'Australia:R18+', u'Australia:MA15+::(Cable TV rating)', u'Brazil:18', u'Brazil:14::(edited tv version)', u'Finland:K-16/13::(2012 reform rating)', u'Finland:K-18::(self applied)', u'Germany:18', u'Italy:VM14', u'Malaysia:(Banned)', u'Netherlands:16', u'New Zealand:R16', u'Portugal:M/16', u'Singapore:M18', u'Singapore:PG13::(edited TV version)', u'South Africa:18', u'South Korea:18', u'Sweden:15', u'UK:15', u'USA:R::(certificate #44414)']",,Rated R for bloody violence,[u'Color'],,
actor,tv series,Knight Rider,2008,[u'USA:60'],"[u'Adventure', u'Mystery', u'Thriller']",KITT (Knight Industries Three Thousand) is an artificially intelligent car that can hack any system...,5.7,8011,"{1: 758, 2: 330, 3: 414, 4: 518, 5: 816, 6: 959, 7: 1006, 8: 888, 9: 495, 10: 1827}","{u'aged 45+': (719, 5.4), u'imdb staff': (1, 5.0), u'aged 30-44': (3640, 5.4), u'females': (837, 6.4), u'females aged 30-44': (355, 5.8), 'all votes': (8011, 5.7), u'females aged 45+': (105, 6.1), u'males': (6151, 5.6), u'males aged 18-29': (2087, 6.3), u'males under 18': (13, 6.2), u'aged 18-29': (2447, 6.4), u'males aged 30-44': (3251, 5.3), u'non-us users': (4523, 5.6), u'females aged 18-29': (346, 7.0), u'us users': (1355, 5.5), u'females under 18': (3, 8.7), u'aged under 18': (16, 7.0), u'top 1000 voters': (120, 4.6), u'males aged 45+': (606, 5.3)}","[u'Australia:M', u'Netherlands:6', u'South Korea:15', u'USA:TV-14']",,,[u'Color'],,
actor,video game,Pain,2007,,"[u'Action', u'Comedy']",Cause as much chaos in as short a time as possible by launching an array of human cannon fodder from a giant slingshot.,7.8,22,"{1: 2, 2: 0, 3: 0, 4: 1, 5: 1, 6: 3, 7: 1, 8: 2, 9: 1, 10: 11}","{u'aged 45+': (1, 10.0), u'aged 30-44': (2, 7.0), u'females': (1, 10.0), 'all votes': (22, 7.8), u'males': (14, 7.1), u'males aged 18-29': (11, 6.6), u'aged 18-29': (13, 5.7), u'males aged 30-44': (2, 7.0), u'non-us users': (15, 7.1), u'females aged 18-29': (1, 10.0), u'top 1000 voters': (3, 5.3), u'males aged 45+': (1, 10.0)}",,,,[u'Color'],,
actor,movie,Kickin' It Old Skool,2007,"[u'USA:107', u'USA:108']",[u'Comedy'],"A young breakdancer hits his head during a talent show and slips into a coma for twenty years. Waking up in 2006, he looks to revive his and his team's career with the help of his girlfriend and his parents.",4.6,6354,"{1: 894, 2: 503, 3: 591, 4: 769, 5: 985, 6: 804, 7: 582, 8: 335, 9: 165, 10: 726}","{u'aged 45+': (591, 4.5), u'aged 30-44': (3017, 4.6), u'females': (794, 4.9), u'females aged 30-44': (331, 4.8), 'all votes': (6354, 4.6), u'females aged 45+': (97, 4.9), u'males': (4701, 4.6), u'males aged 18-29': (1470, 4.7), u'males under 18': (1, 4.0), u'aged 18-29': (1823, 4.8), u'males aged 30-44': (2661, 4.6), u'non-us users': (2726, 4.6), u'females aged 18-29': (346, 5.1), u'us users': (2464, 4.7), u'females under 18': (1, 7.0), u'aged under 18': (2, 5.5), u'top 1000 voters': (118, 3.9), u'males aged 45+': (489, 4.4)}","[u'Australia:M', u'Netherlands:AL', u'Portugal:M/12', u'USA:PG-13::(certificate #42992)']",18,Rated PG-13 for crude and sexual content and language,[u'Color'],,
actor,movie,Click,2006,[u'107'],"[u'Comedy', u'Drama', u'Fantasy', u'Romance']",A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,6.4,264311,"{1: 5295, 2: 4574, 3: 7782, 4: 14923, 5: 30285, 6: 56125, 7: 66698, 8: 39217, 9: 16765, 10: 22647}","{u'aged 45+': (14350, 6.1), u'imdb staff': (12, 5.2), u'aged 30-44': (92381, 6.3), u'females': (44491, 6.2), u'females aged 30-44': (14462, 6.1), 'all votes': (264311, 6.4), u'females aged 45+': (2356, 6.2), u'males': (177986, 6.5), u'males aged 18-29': (82442, 6.6), u'males under 18': (414, 6.4), u'aged 18-29': (108992, 6.5), u'males aged 30-44': (77125, 6.4), u'non-us users': (136776, 6.4), u'females aged 18-29': (25683, 6.2), u'us users': (47556, 6.3), u'females under 18': (148, 6.7), u'aged under 18': (567, 6.5), u'top 1000 voters': (711, 6.1), u'males aged 45+': (11799, 6.1)}","[u'Argentina:Atp', u'Australia:M', u'Brazil:Livre', u'Finland:K-7', u'Germany:6', u'Hong Kong:IIA', u'Iceland:10::(original rating)', u'Ireland:12A', u'Italy:T', u'Malaysia:U', u'Netherlands:AL', u'Norway:11', u'Peru:Apt', u'Philippines:PG-13', u'Portugal:M/12', u'Russia:12+', u'Singapore:PG', u'Singapore:PG13::(re-rating)', u'South Korea:12', u'Spain:7', u'Sweden:7', u'Switzerland:10::(canton of Geneva)', u'Switzerland:10::(canton of Vaud)', u'Taiwan:PG-12', u'UK:12A', u'USA:PG-13::(certificate #42007)']",45,"Rated PG-13 for language, crude and sex-related humor, and some drug references",[u'Color'],,
actor,movie,Fugitives Run,2005,[u'USA:83'],[u'Comedy'],Two men are on the run from a nasty sheriff and some bikers after they get accused of robbing locals who got together to play Bingo.,3.2,101,"{1: 40, 2: 15, 3: 8, 4: 7, 5: 12, 6: 0, 7: 3, 8: 1, 9: 0, 10: 15}","{u'aged 45+': (30, 2.5), u'aged 30-44': (46, 3.4), u'females': (10, 2.0), u'females aged 30-44': (3, 6.0), 'all votes': (101, 3.2), u'females aged 45+': (5, 1.7), u'males': (72, 3.1), u'males aged 18-29': (5, 1.4), u'aged 18-29': (7, 1.4), u'males aged 30-44': (43, 3.4), u'non-us users': (62, 2.9), u'females aged 18-29': (2, 5.5), u'us users': (18, 3.2), u'top 1000 voters': (9, 3.9), u'males aged 45+': (24, 3.0)}","[u'UK:12', u'USA:PG-13']",,Rated PG-13 for crude and sexual humor,[u'Color'],,
actor,movie,The SpongeBob SquarePants Movie,2004,[u'87'],"[u'Animation', u'Adventure', u'Comedy', u'Family', u'Fantasy']",SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,7.0,64257,"{1: 1218, 2: 612, 3: 990, 4: 1776, 5: 4278, 6: 10185, 7: 18862, 8: 12599, 9: 4989, 10: 8748}","{u'aged 45+': (3380, 6.7), u'imdb staff': (7, 6.0), u'aged 30-44': (15946, 6.9), u'females': (10190, 6.9), u'females aged 30-44': (2492, 6.8), 'all votes': (64257, 7.0), u'females aged 45+': (528, 6.9), u'males': (41453, 7.0), u'males aged 18-29': (23010, 7.1), u'males under 18': (404, 7.6), u'aged 18-29': (29915, 7.0), u'males aged 30-44': (13310, 6.9), u'non-us users': (27533, 6.9), u'females aged 18-29': (6650, 6.9), u'us users': (14537, 7.0), u'females under 18': (94, 7.9), u'aged under 18': (505, 7.6), u'top 1000 voters': (394, 6.3), u'males aged 45+': (2807, 6.7)}","[u'Argentina:Atp', u'Australia:G', u'Brazil:Livre', u'Canada:G::(Alberta/British Columbia/Ontario/Qu\xe9bec)', u'Chile:TE', u'Finland:K-3', u'Germany:6', u'Iceland:L', u'Ireland:G', u'Italy:T', u'Japan:G', u'Malaysia:U', u'Netherlands:AL', u'New Zealand:G', u'Norway:7::(DVD release)', u'Peru:Apt', u'Philippines:G', u'Portugal:M/4', u'Russia:0+', u'Singapore:PG', u'South Korea:All', u'Spain:T', u'Switzerland:7::(canton of Geneva)', u'Switzerland:7::(canton of Vaud)', u'Switzerland:8::(canton of Zurich)', u'UK:U::(NickelodeonUK)', u'USA:TV-PG::(Nickelodeon)', u'USA:PG::(No. 41200)']",66,Rated PG for some mild crude humor,[u'Color'],,
actor,movie,Dodgeball: A True Underdog Story,2004,[u'92'],"[u'Comedy', u'Sport']",A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,6.7,198723,"{1: 2130, 2: 1946, 3: 3549, 4: 7533, 5: 17657, 6: 41669, 7: 61112, 8: 36789, 9: 13584, 10: 12754}","{u'aged 45+': (13512, 6.5), u'imdb staff': (19, 6.7), u'aged 30-44': (75631, 6.6), u'females': (21894, 6.6), u'females aged 30-44': (8892, 6.5), 'all votes': (198723, 6.7), u'females aged 45+': (1747, 6.6), u'males': (140382, 6.7), u'males aged 18-29': (57053, 6.8), u'males under 18': (279, 6.9), u'aged 18-29': (67870, 6.8), u'males aged 30-44': (66005, 6.7), u'non-us users': (87207, 6.6), u'females aged 18-29': (10293, 6.5), u'us users': (51574, 6.9), u'females under 18': (47, 7.2), u'aged under 18': (332, 6.9), u'top 1000 voters': (672, 6.1), u'males aged 45+': (11580, 6.5)}","[u'Argentina:13', u'Australia:M', u'Brazil:10', u'Canada:PG::(Ontario)', u'Canada:G::(Qu\xe9bec)', u'Finland:K-11', u'Germany:6', u'Iceland:L', u'Ireland:15::(DVD rating)', u'Ireland:15PG::(orginal rating)', u'Malaysia:18SX', u'Netherlands:AL', u'Norway:7', u'Peru:14', u'Philippines:PG-13', u'Portugal:M/12', u'Singapore:M18', u'Singapore:PG::(cut)', u'South Korea:12', u'Sweden:7', u'Switzerland:14::(canton of Geneva)', u'Switzerland:14::(canton of Vaud)', u'UK:12::(DVD rating)', u'UK:12A::(original rating)', u'USA:Unrated::(DVD version)', u'USA:PG-13::(certificate #40832)']",55,"Rated PG-13 for rude and sexual humor, and language","[u'Black and White', u'Color']",,
actor,tv movie,Baywatch: Hawaiian Wedding,2003,[u'100'],"[u'Action', u'Drama', u'Adventure']",Mitch Buchannon didn't die in a boat explosion in the 10th season but has been recovering from amnesia in Los Angeles...,4.1,1767,"{1: 310, 2: 210, 3: 233, 4: 248, 5: 190, 6: 153, 7: 98, 8: 60, 9: 38, 10: 227}","{u'aged 45+': (167, 4.2), u'aged 30-44': (877, 3.9), u'females': (260, 4.8), u'females aged 30-44': (128, 4.1), 'all votes': (1767, 4.1), u'females aged 45+': (20, 4.5), u'males': (1203, 4.0), u'males aged 18-29': (289, 4.4), u'aged 18-29': (392, 4.7), u'males aged 30-44': (743, 3.8), u'non-us users': (1086, 3.8), u'females aged 18-29': (100, 5.8), u'us users': (220, 5.2), u'top 1000 voters': (82, 3.9), u'males aged 45+': (145, 4.2)}","[u'Australia:PG', u'Germany:12', u'Iceland:12', u'Singapore:NC-16', u'UK:12', u'USA:TV-14']",,,[u'Color'],,
